地区	年度	GDP(亿元)	GDP增长指数(上年＝100)	第二产业增加值(亿元)	第三产业增加值(亿元)	第一产业增加值(亿元)	区域
安徽	1997	0.467952673	0.933862876	0.451424437	0.430055897	0.667489463	3
安徽	1998	0.476179837	0.908026756	0.461495125	0.440883872	0.668901391	3
安徽	1999	0.482875955	0.914715719	0.466538013	0.452280988	0.669375372	3
安徽	2000	0.489893694	0.908026756	0.474359273	0.462348657	0.668485553	3
安徽	2001	0.501193287	0.913043478	0.490697243	0.473198109	0.671875568	3
安徽	2002	0.510163454	0.918896321	0.497455189	0.48606058	0.675870839	3
安徽	2003	0.522363923	0.914381271	0.512100768	0.502349924	0.669855166	3
安徽	2004	0.540917766	0.939799331	0.529809696	0.517997839	0.702472797	3
安徽	2005	0.551987007	0.928093645	0.548586993	0.525738207	0.70481907	3
安徽	2006	0.567165084	0.941471572	0.569660846	0.538656563	0.711198745	3
安徽	2007	0.590342955	0.954013378	0.597635027	0.560297883	0.725430672	3
安徽	2008	0.612109181	0.942056856	0.624307693	0.57729693	0.749370186	3
安徽	2009	0.628530072	0.945652174	0.644514758	0.592412341	0.757151016	3
安徽	2010	0.65397991	0.955685619	0.679274384	0.609330089	0.779638195	3
安徽	2011	0.681521874	0.948160535	0.713691971	0.630426835	0.804105592	3
安徽	2012	0.697927721	0.929765886	0.731260665	0.646718569	0.816670628	3
安徽	2013	0.71421472	0.922240803	0.74622179	0.665718789	0.828812922	3
安徽	2014	0.727168405	0.913043478	0.756840975	0.682215477	0.837901212	3
安徽	2015	0.735447681	0.908946488	0.754842312	0.701400232	0.843741262	3
安徽	2016	0.750134689	0.909698997	0.764073567	0.722356545	0.851666707	3
安徽	2017	0.768430138	0.908026756	0.778925688	0.74561815	0.857903625	3
安徽	2018	0.789671245	0.903177258	0.795560564	0.773158256	0.861575085	3
安徽	2019	0.802415971	0.897157191	0.805207928	0.787648984	0.87899568	3
安徽	2020	0.810254369	0.868729097	0.812618872	0.79470597	0.894647348	3
北京	1997	0.453223025	0.921404682	0.445350152	0.458424482	0.425169041	1
北京	1998	0.466196056	0.91638796	0.451967604	0.47592754	0.425937291	1
北京	1999	0.477857268	0.928093645	0.458893794	0.490822549	0.426482667	1
北京	2000	0.494582976	0.936454849	0.470866965	0.510805071	0.427457371	1
北京	2001	0.511062343	0.934782609	0.480025024	0.531538141	0.429062388	1
北京	2002	0.527545382	0.934782609	0.488882066	0.552102391	0.430748343	1
北京	2003	0.543799289	0.928929766	0.505265699	0.568895146	0.432511214	1
北京	2004	0.562773208	0.947324415	0.525581071	0.58793253	0.433840156	1
北京	2005	0.578070873	0.938963211	0.533275999	0.607045857	0.435353588	1
北京	2006	0.596820871	0.943143813	0.54218291	0.630424203	0.435653763	1
北京	2007	0.62336448	0.956521739	0.558971344	0.661353078	0.447214061	1
北京	2008	0.639139192	0.911371237	0.564123794	0.681223314	0.457525402	1
北京	2009	0.650499063	0.919732441	0.573191311	0.693714342	0.461877431	1
北京	2010	0.670088754	0.923076923	0.592635291	0.714035114	0.466528142	1
北京	2011	0.688924747	0.903846154	0.60427435	0.735827763	0.475097374	1
北京	2012	0.703050261	0.900752508	0.613890747	0.751801283	0.484534777	1
北京	2013	0.717994963	0.900501672	0.623527304	0.768887494	0.491760371	1
北京	2014	0.729773907	0.897993311	0.63125267	0.782381032	0.491390534	1
北京	2015	0.741207456	0.893812709	0.63087629	0.797845585	0.479194246	1
北京	2016	0.75427179	0.893812709	0.637747707	0.813235927	0.471722313	1
北京	2017	0.76949803	0.892976589	0.647905456	0.830515737	0.465842292	1
北京	2018	0.785423582	0.892140468	0.658533361	0.848514628	0.464813594	1
北京	2019	0.796221526	0.887123746	0.663041108	0.861413209	0.459963508	1
北京	2020	0.79915358	0.846153846	0.664183686	0.864956964	0.454360561	1
福建	1997	0.481644146	0.95326087	0.486906037	0.446035895	0.631136653	3
福建	1998	0.490973007	0.926421405	0.496187438	0.456713759	0.637917202	3
福建	1999	0.498632074	0.918896321	0.503350768	0.466255661	0.642223107	3
福建	2000	0.508469675	0.913879599	0.516287395	0.475848354	0.644178865	3
福建	2001	0.516538095	0.908528428	0.52693595	0.483470969	0.645796918	3
福建	2002	0.526182691	0.921070234	0.53991852	0.490676441	0.652953795	3
福建	2003	0.538157691	0.931939799	0.555037803	0.501700461	0.657359115	3
福建	2004	0.552689902	0.931438127	0.573288053	0.512467385	0.672242558	3
福建	2005	0.565676802	0.933444816	0.58751861	0.526367513	0.677393953	3
福建	2006	0.583136418	0.960702341	0.60650914	0.545107769	0.683488585	3
福建	2007	0.60961861	0.962374582	0.633761084	0.572688948	0.702576234	3
福建	2008	0.629304749	0.943979933	0.656345867	0.589405733	0.722783465	3
福建	2009	0.645555572	0.939046823	0.673507751	0.607626886	0.724450667	3
福建	2010	0.670433116	0.952341137	0.705051805	0.626315558	0.744371995	3
福建	2011	0.694670931	0.938963211	0.732343289	0.64733384	0.768783692	3
福建	2012	0.711464242	0.932274247	0.750454916	0.663379807	0.782382613	3
福建	2013	0.727066274	0.928093645	0.767857374	0.677895281	0.793242946	3
福建	2014	0.742179872	0.918896321	0.784780705	0.691958016	0.803057694	3
福建	2015	0.753030695	0.910535117	0.791468646	0.708320216	0.809612778	3
福建	2016	0.768083937	0.906354515	0.802104404	0.727909953	0.826661443	3
福建	2017	0.788887377	0.903846154	0.818932309	0.754948148	0.831989829	3
福建	2018	0.810284279	0.905518395	0.843170852	0.774784928	0.843952087	3
福建	2019	0.824983667	0.898829431	0.853795142	0.7934303	0.858780906	3
福建	2020	0.831042575	0.863712375	0.856024177	0.802709625	0.867649829	3
江西	1997	0.428804507	0.938963211	0.415673974	0.392387008	0.611518787	3
江西	1998	0.434732189	0.89548495	0.424302726	0.402564268	0.605014193	3
江西	1999	0.441294201	0.901337793	0.429821888	0.411778951	0.60871866	3
江西	2000	0.448189728	0.902926421	0.436493261	0.419981175	0.614061105	3
江西	2001	0.455660809	0.909531773	0.446643945	0.426593811	0.619253224	3
江西	2002	0.466630268	0.924247492	0.463076404	0.434876363	0.626423281	3
江西	2003	0.4796753	0.944481605	0.486421523	0.442152063	0.630012043	3
江西	2004	0.498160034	0.946488294	0.508606548	0.455650412	0.653942833	3
江西	2005	0.513155549	0.943979933	0.52914455	0.466982829	0.664087877	3
江西	2006	0.531475301	0.938963211	0.555414675	0.479428514	0.674389564	3
江西	2007	0.553952426	0.946488294	0.581885068	0.500220366	0.689925406	3
江西	2008	0.574542217	0.947324415	0.602757124	0.521004015	0.711691875	3
江西	2009	0.585635444	0.946488294	0.614736968	0.532798102	0.718246814	3
江西	2010	0.610369042	0.953177258	0.648767478	0.550171494	0.729449992	3
江西	2011	0.636646392	0.939799331	0.678038148	0.57485467	0.750214055	3
江西	2012	0.649556353	0.927675585	0.689524173	0.590106257	0.763235886	3
江西	2013	0.664034912	0.920568562	0.704255766	0.605677841	0.773711355	3
江西	2014	0.676276298	0.91722408	0.714553734	0.621565325	0.782183667	3
江西	2015	0.685623463	0.912207358	0.716777532	0.639685276	0.79043134	3
江西	2016	0.698284431	0.911371237	0.722922264	0.660500874	0.797642839	3
江西	2017	0.711605487	0.909698997	0.734345429	0.677558162	0.801267805	3
江西	2018	0.72843532	0.908862876	0.743987748	0.70325659	0.804908099	3
江西	2019	0.740537399	0.902173913	0.754590863	0.716250512	0.819812592	3
江西	2020	0.746587244	0.867892977	0.758244475	0.723114163	0.833968787	3
辽宁	1997	0.503453012	0.910535117	0.523465578	0.466284078	0.609053846	2
辽宁	1998	0.511596704	0.905518395	0.529980621	0.474958093	0.622857997	2
辽宁	1999	0.519021178	0.904849498	0.538070522	0.484370165	0.620122143	2
辽宁	2000	0.530846019	0.910869565	0.555343376	0.494071066	0.615720359	2
辽宁	2001	0.538876742	0.911204013	0.559809115	0.505822226	0.625177127	2
辽宁	2002	0.547687565	0.921822742	0.567347306	0.51584667	0.635097234	2
辽宁	2003	0.556398085	0.910535117	0.577506679	0.523854073	0.640305341	2
辽宁	2004	0.566631845	0.923076923	0.582179823	0.534862674	0.674264229	2
辽宁	2005	0.579854737	0.923913043	0.600167574	0.543374199	0.687657928	2
辽宁	2006	0.596868398	0.932274247	0.620272881	0.559243574	0.696161259	2
辽宁	2007	0.62176196	0.943979933	0.648181095	0.581400052	0.72029223	2
辽宁	2008	0.642613131	0.925585284	0.676642964	0.594617851	0.737905247	2
辽宁	2009	0.649637783	0.923076923	0.682291458	0.602833684	0.747562652	2
辽宁	2010	0.660240745	0.922240803	0.695201316	0.609151357	0.766368776	2
辽宁	2011	0.682106851	0.921404682	0.718669355	0.629514569	0.788476121	2
辽宁	2012	0.694134299	0.910535117	0.725460939	0.647032154	0.804216622	2
辽宁	2013	0.704405471	0.908862876	0.73056889	0.66331969	0.812984149	2
辽宁	2014	0.710297028	0.883779264	0.727923341	0.678375546	0.815321357	2
辽宁	2015	0.711601826	0.859531773	0.716382888	0.690427454	0.819494412	2
辽宁	2016	0.712880413	0.840301003	0.707963433	0.702307205	0.801786682	2
辽宁	2017	0.721749475	0.871237458	0.716112601	0.712225887	0.807036285	2
辽宁	2018	0.733457906	0.882943144	0.728087233	0.723999955	0.816831586	2
辽宁	2019	0.741662764	0.881270903	0.734831519	0.732641203	0.829164262	2
辽宁	2020	0.743205939	0.841137124	0.733664607	0.735154573	0.837144075	2
内蒙古	1997	0.4013534	0.926421405	0.394463122	0.365617533	0.565912782	1
内蒙古	1998	0.408669007	0.925585284	0.40105111	0.374720123	0.57246222	1
内蒙古	1999	0.415963334	0.909698997	0.409692229	0.384550101	0.572893907	1
内蒙古	2000	0.425184251	0.926421405	0.420662022	0.395571134	0.57550631	1
内蒙古	2001	0.434425398	0.925585284	0.430726973	0.407092025	0.578136574	1
内蒙古	2002	0.445374241	0.946153846	0.443024515	0.419393635	0.583139679	1
内蒙古	2003	0.464240856	0.972408027	0.452699992	0.447901944	0.596634976	1
内蒙古	2004	0.48401803	0.975752508	0.472466856	0.4662719	0.623311714	1
内蒙古	2005	0.501790528	1	0.499690299	0.477736295	0.638474821	1
内蒙古	2006	0.518773605	0.986622074	0.522502615	0.492080677	0.64801448	1
内蒙古	2007	0.541712914	0.986622074	0.544806943	0.515723767	0.672189676	1
内蒙古	2008	0.562591455	0.974080268	0.565384063	0.536679386	0.695293273	1
内蒙古	2009	0.577332431	0.969899666	0.580524948	0.553647698	0.700147185	1
内蒙古	2010	0.594133391	0.954013378	0.599349754	0.567511802	0.723007527	1
内蒙古	2011	0.611341161	0.949832776	0.619764606	0.579984558	0.748986285	1
内蒙古	2012	0.623897393	0.925585284	0.634651103	0.589791301	0.764723518	1
内蒙古	2013	0.634520811	0.908862876	0.643238412	0.601869529	0.777906182	1
内蒙古	2014	0.642830794	0.901337793	0.649565514	0.612828359	0.783252903	1
内蒙古	2015	0.650983307	0.900501672	0.653458819	0.626768995	0.782504572	1
内蒙古	2016	0.659220745	0.89632107	0.660977904	0.636991945	0.784448499	1
内蒙古	2017	0.669496882	0.869565217	0.667811921	0.652091173	0.784373393	1
内蒙古	2018	0.680310963	0.879598662	0.677982081	0.663708249	0.793741397	1
内蒙古	2019	0.689114861	0.879598662	0.686898936	0.672243373	0.803701409	1
内蒙古	2020	0.690290215	0.837792642	0.689016686	0.670367966	0.817190254	1
宁夏	1997	0.289334856	0.902173913	0.288681547	0.270784207	0.38144277	6
宁夏	1998	0.29453233	0.909698997	0.292758099	0.276776353	0.387822585	6
宁夏	1999	0.29897445	0.912207358	0.297933876	0.282571918	0.386750661	6
宁夏	2000	0.305557512	0.921404682	0.307417709	0.289674485	0.383394932	6
宁夏	2001	0.313878802	0.920568562	0.314413498	0.299966791	0.389275441	6
宁夏	2002	0.320942919	0.92173913	0.321985285	0.307211626	0.394286008	6
宁夏	2003	0.331378979	0.933946488	0.336847558	0.315401173	0.398198835	6
宁夏	2004	0.342220985	0.921404682	0.350094771	0.323621925	0.411207195	6
宁夏	2005	0.349778648	0.918896321	0.35792457	0.331481665	0.416686334	6
宁夏	2006	0.361447277	0.933946488	0.373600869	0.340106021	0.424727535	6
宁夏	2007	0.3799986	0.933946488	0.394390252	0.357007099	0.441205905	6
宁夏	2008	0.400352614	0.933110368	0.417067248	0.375710751	0.458750934	6
宁夏	2009	0.408937961	0.927257525	0.422157608	0.388457737	0.464690154	6
宁夏	2010	0.426969255	0.940635452	0.44048575	0.405644923	0.486484587	6
宁夏	2011	0.44495399	0.93729097	0.460895389	0.421999982	0.500778624	6
宁夏	2012	0.453773744	0.923913043	0.467961134	0.432779156	0.508562484	6
宁夏	2013	0.461857579	0.918478261	0.474115195	0.442204763	0.519731841	6
宁夏	2014	0.467518824	0.903010033	0.478869664	0.449166108	0.522754876	6
宁夏	2015	0.471439983	0.903010033	0.479135956	0.455461073	0.532012515	6
宁夏	2016	0.478602942	0.897993311	0.484415463	0.465071598	0.533877455	6
宁夏	2017	0.492221763	0.897157191	0.501719229	0.476957763	0.538073146	6
宁夏	2018	0.501405731	0.892976589	0.507448364	0.488665152	0.549895727	6
宁夏	2019	0.508035093	0.890468227	0.514025354	0.49620778	0.550108128	6
宁夏	2020	0.5126159	0.868729097	0.515433607	0.500977578	0.571247198	6
青海	1997	0.283486238	0.911705686	0.268502829	0.275505927	0.376074104	6
青海	1998	0.288383017	0.910702341	0.272415533	0.282048326	0.378103399	6
青海	1999	0.293049002	0.903929766	0.276364075	0.288985406	0.376487058	6
青海	2000	0.298770773	0.910869565	0.28343494	0.296229145	0.373001311	6
青海	2001	0.306608757	0.9340301	0.293358935	0.302838089	0.381221485	6
青海	2002	0.314473716	0.937123746	0.303030999	0.311127907	0.382187946	6
青海	2003	0.322266245	0.927257525	0.312696567	0.31905448	0.38336161	6
青海	2004	0.331548015	0.930602007	0.322551278	0.326269274	0.401659875	6
青海	2005	0.339481302	0.929765886	0.336315494	0.330423405	0.40797176	6
青海	2006	0.350409696	0.938963211	0.34871731	0.341680763	0.411847219	6
